id,complaint,demands,praise,questions
1041016773991,0.012869199,0.9734797,0.011226422,0.0024246457
109362481297,0.0028085536,0.0013816942,0.9949603,0.00084949925
985019053532,0.9681691,0.002602322,0.026856618,0.0023719126
436629695381,0.9899942,0.0011069474,0.004212622,0.0046862764
585196067684,0.008569121,0.97862065,0.0087089725,0.0041012582
494493228632,0.6598287,0.3279732,0.007777812,0.004420231
169320272657,0.001889204,0.0014323643,0.9956204,0.0010578911
502339277112,0.9752111,0.0007791973,0.012430064,0.011579614
188905599922,0.1453123,0.002081738,0.85051274,0.0020932707
79828702106,0.9864943,0.000976851,0.006934327,0.0055944505
533440455528,0.51699424,0.008615452,0.009751419,0.46463892
846756196405,0.006449394,0.0018270416,0.9911032,0.0006204144
710084302450,0.98531175,0.0071303523,0.005278444,0.0022794942
502338948993,0.95392656,0.005165659,0.008311523,0.03259625
805481712657,0.9902712,0.0014217802,0.004534205,0.0037728415
68723117260,0.98814464,0.0012950363,0.008304462,0.0022558577
176895850628,0.0020950101,0.03883652,0.9577141,0.0013544454
165282279279,0.023575377,0.015822824,0.020469615,0.9401322
478705850914,0.0012706383,0.0020018679,0.9958994,0.00082801597
137113603537,0.18326798,0.80531174,0.00846091,0.002959295
445362249568,0.07247625,0.0033659928,0.004467027,0.91969067
989455283954,0.9892105,0.00148205,0.0071929605,0.0021144906
377957879645,0.61601794,0.056366283,0.0020827577,0.32553303
577180301306,0.76138824,0.21625708,0.003066717,0.019287912
348332854898,0.96664184,0.00203208,0.02218984,0.009136126
65027114234,0.0451522,0.9479231,0.003218417,0.0037062091
68906290612,0.023363765,0.07327665,0.02763887,0.8757207
191568724852,0.009004279,0.9817717,0.0067763855,0.002447613
578762899152,0.97404027,0.014262985,0.0013982219,0.010298506
604436544180,0.9536501,0.020617867,0.005632215,0.02009974
659430113428,0.023439124,0.020413354,0.004884822,0.95126265
759461737751,0.0015668896,0.0020824873,0.99563,0.00072058395
634295061530,0.98885113,0.0009981404,0.0069529586,0.003197844
1027407567924,0.84201473,0.046401843,0.001619597,0.109963894
721891720245,0.0024098624,0.0017278106,0.99490863,0.0009536223
65312376899,0.0017193491,0.0025580567,0.9951224,0.00060019275
972999216365,0.9918434,0.0018145501,0.0021241528,0.0042178473
